case,dice,iou
BraTS-GLI-00823-000_real_label_63,0.959757,0.922628
BraTS-GLI-00823-000_real_label_65,0.947079,0.899478
BraTS-GLI-00823-000_real_label_66,0.960479,0.923962
BraTS-GLI-00823-000_real_label_67,0.954014,0.912071
BraTS-GLI-00823-000_real_label_68,0.951640,0.907741
BraTS-GLI-00823-000_real_label_7,0.960220,0.923484
BraTS-GLI-00823-000_real_label_70,0.955805,0.915350
BraTS-GLI-00823-000_real_label_71,0.959545,0.922236
BraTS-GLI-00823-000_real_label_73,0.958346,0.920023
BraTS-GLI-00823-000_real_label_74,0.965843,0.933941
BraTS-GLI-00823-000_real_label_77,0.955029,0.913929
BraTS-GLI-00823-000_real_label_78,0.954348,0.912682
BraTS-GLI-00823-000_real_label_79,0.956126,0.915940
BraTS-GLI-00823-000_real_label_80,0.962168,0.927095
BraTS-GLI-00823-000_real_label_81,0.969521,0.940845
BraTS-GLI-00823-000_real_label_84,0.967755,0.937525
BraTS-GLI-00823-000_real_label_85,0.969201,0.940242
BraTS-GLI-00823-000_real_label_86,0.960856,0.924661
BraTS-GLI-00823-000_real_label_87,0.942235,0.890778
BraTS-GLI-00823-000_real_label_88,0.935768,0.879290
BraTS-GLI-00823-000_real_label_89,0.949900,0.904580
BraTS-GLI-00823-000_real_label_9,0.954445,0.912859
BraTS-GLI-00823-000_real_label_92,0.972593,0.946648
BraTS-GLI-00823-000_real_label_94,0.962682,0.928048
BraTS-GLI-00823-000_real_label_96,0.949713,0.904242
BraTS-GLI-00824-000_fake_label_1,0.761283,0.614574
