case,dice_mean,dice_wt,dice_tc,dice_et,iou_mean,iou_wt,iou_tc,iou_et
BraTS-GLI-00820-000_real_label_40,0.783888,0.935057,0.453278,0.963329,0.700115,0.878035,0.293057,0.929252
BraTS-GLI-00820-000_real_label_41,0.771191,0.920927,0.434602,0.958045,0.683514,0.853442,0.277630,0.919468
BraTS-GLI-00820-000_real_label_42,0.774348,0.900670,0.459285,0.963088,0.682064,0.819290,0.298099,0.928803
BraTS-GLI-00820-000_real_label_43,0.790909,0.915028,0.560204,0.897496,0.682168,0.843365,0.389085,0.814052
BraTS-GLI-00820-000_real_label_45,0.801566,0.921747,0.517317,0.965635,0.712437,0.854852,0.348906,0.933553
BraTS-GLI-00820-000_real_label_46,0.793112,0.930174,0.508103,0.941059,0.699572,0.869463,0.340575,0.888679
BraTS-GLI-00820-000_real_label_47,0.769367,0.896305,0.453144,0.958652,0.675209,0.812094,0.292945,0.920588
BraTS-GLI-00820-000_real_label_48,0.824266,0.942752,0.612905,0.917141,0.726843,0.891704,0.441863,0.846963
BraTS-GLI-00820-000_real_label_49,0.802294,0.912880,0.534232,0.959771,0.708950,0.839723,0.364472,0.922654
BraTS-GLI-00820-000_real_label_5,0.799539,0.937800,0.507154,0.953663,0.711346,0.882884,0.339723,0.911430
BraTS-GLI-00820-000_real_label_52,0.831711,0.918679,0.604366,0.972088,0.742773,0.849589,0.433040,0.945691
BraTS-GLI-00820-000_real_label_55,0.817722,0.888092,0.613395,0.951678,0.716298,0.798711,0.442372,0.907810
BraTS-GLI-00820-000_real_label_58,0.765521,0.915694,0.420419,0.960451,0.678189,0.844497,0.266159,0.923911
BraTS-GLI-00820-000_real_label_59,0.793527,0.942520,0.476216,0.961844,0.710101,0.891289,0.312522,0.926493
BraTS-GLI-00820-000_real_label_6,0.771541,0.938719,0.433548,0.942356,0.684094,0.884515,0.276771,0.890995
BraTS-GLI-00820-000_real_label_61,0.795022,0.920883,0.500986,0.963198,0.705529,0.853367,0.334210,0.929010
BraTS-GLI-00820-000_real_label_63,0.801077,0.900621,0.560781,0.941830,0.699635,0.819209,0.389643,0.890055
BraTS-GLI-00820-000_real_label_64,0.783870,0.927005,0.511370,0.913236,0.682594,0.863941,0.343517,0.840326
BraTS-GLI-00820-000_real_label_67,0.803982,0.924228,0.522063,0.965655,0.715320,0.859131,0.353238,0.933591
BraTS-GLI-00820-000_real_label_69,0.814138,0.937403,0.557802,0.947207,0.722888,0.882182,0.386772,0.899709
BraTS-GLI-00820-000_real_label_80,0.821865,0.937729,0.604472,0.923393,0.724532,0.882758,0.433150,0.857688
BraTS-GLI-00820-000_real_label_82,0.784074,0.887867,0.509612,0.954744,0.684562,0.798346,0.341932,0.913407
BraTS-GLI-00820-000_real_label_84,0.833727,0.907815,0.651021,0.942344,0.734923,0.831191,0.482603,0.890974
BraTS-GLI-00820-000_real_label_85,0.796381,0.863857,0.560965,0.964322,0.693755,0.760341,0.389821,0.931102
BraTS-GLI-00820-000_real_label_87,0.809340,0.905689,0.570898,0.951433,0.711493,0.827633,0.399480,0.907365
BraTS-GLI-00820-000_real_label_89,0.796910,0.886219,0.606715,0.897795,0.681895,0.795685,0.435456,0.814545
BraTS-GLI-00820-000_real_label_92,0.756941,0.921854,0.384700,0.964268,0.674733,0.855036,0.238160,0.931002
BraTS-GLI-00820-000_real_label_94,0.871262,0.921061,0.724709,0.968015,0.786652,0.853673,0.568269,0.938013
BraTS-GLI-00820-000_real_label_99,0.795840,0.838288,0.579289,0.969944,0.690328,0.721598,0.407746,0.941641
BraTS-GLI-00823-000_fake_label_0,0.696541,0.974934,0.232724,0.881964,0.623877,0.951094,0.131685,0.788852
BraTS-GLI-00823-000_fake_label_1,0.744304,0.968717,0.352501,0.911693,0.663670,0.939331,0.213962,0.837717
BraTS-GLI-00823-000_fake_label_10,0.749299,0.963348,0.383813,0.900737,0.662057,0.929289,0.237481,0.819400
BraTS-GLI-00823-000_fake_label_11,0.729026,0.965196,0.336867,0.885014,0.643009,0.932734,0.202550,0.793744
BraTS-GLI-00823-000_fake_label_12,0.764678,0.967821,0.405714,0.920500,0.681613,0.937649,0.254480,0.852710
BraTS-GLI-00823-000_fake_label_13,0.732438,0.964997,0.334959,0.897356,0.649119,0.932362,0.201172,0.813822
BraTS-GLI-00823-000_fake_label_14,0.724842,0.964114,0.320085,0.890327,0.641194,0.930715,0.190536,0.802332
BraTS-GLI-00823-000_fake_label_15,0.755715,0.955707,0.412541,0.898898,0.663803,0.915171,0.259875,0.816363
BraTS-GLI-00823-000_fake_label_16,0.670077,0.906888,0.324338,0.779006,0.553736,0.829639,0.193558,0.638010
BraTS-GLI-00823-000_fake_label_17,0.763705,0.962432,0.424165,0.904518,0.674144,0.927585,0.269168,0.825680
BraTS-GLI-00823-000_fake_label_18,0.728664,0.958722,0.360391,0.866880,0.635186,0.920717,0.219803,0.765037
BraTS-GLI-00823-000_fake_label_2,0.720815,0.957894,0.346884,0.857667,0.626610,0.919191,0.209836,0.750803
BraTS-GLI-00823-000_fake_label_22,0.700688,0.959227,0.284792,0.858046,0.613024,0.921649,0.166039,0.751384
BraTS-GLI-00823-000_fake_label_24,0.768626,0.954714,0.449272,0.901892,0.674794,0.913352,0.289717,0.821314
BraTS-GLI-00823-000_fake_label_27,0.749556,0.959424,0.388832,0.900413,0.660737,0.922013,0.241335,0.818864
BraTS-GLI-00823-000_fake_label_28,0.709839,0.950403,0.319597,0.859517,0.616442,0.905494,0.190191,0.753642
BraTS-GLI-00823-000_fake_label_29,0.760554,0.960338,0.422226,0.899099,0.669335,0.923701,0.267609,0.816694
BraTS-GLI-00823-000_fake_label_32,0.708079,0.956319,0.320135,0.847781,0.614216,0.916295,0.190572,0.735782
BraTS-GLI-00823-000_fake_label_33,0.755600,0.971366,0.368885,0.926550,0.677877,0.944326,0.226155,0.863151
BraTS-GLI-00823-000_fake_label_34,0.707940,0.967579,0.294448,0.861793,0.622328,0.937195,0.172641,0.757149
BraTS-GLI-00823-000_fake_label_38,0.783156,0.971031,0.457567,0.920871,0.697898,0.943693,0.296653,0.853347
BraTS-GLI-00823-000_fake_label_4,0.762799,0.967268,0.396436,0.924694,0.681256,0.936611,0.247222,0.859935
BraTS-GLI-00823-000_fake_label_42,0.707566,0.962141,0.311171,0.849386,0.616499,0.927043,0.184252,0.738203
BraTS-GLI-00823-000_fake_label_43,0.732190,0.966528,0.336852,0.893190,0.648253,0.935225,0.202539,0.806995
BraTS-GLI-00823-000_fake_label_44,0.684128,0.944578,0.294374,0.813430,0.584366,0.894976,0.172590,0.685531
BraTS-GLI-00823-000_fake_label_45,0.661424,0.902846,0.321379,0.760046,0.542439,0.822899,0.191454,0.612963
BraTS-GLI-00823-000_fake_label_48,0.727116,0.957654,0.359499,0.864195,0.632918,0.918748,0.219140,0.760865
BraTS-GLI-00823-000_fake_label_49,0.757663,0.967796,0.386032,0.919161,0.675732,0.937601,0.239182,0.850414
BraTS-GLI-00823-000_fake_label_5,0.677393,0.911940,0.333974,0.786266,0.562134,0.838134,0.200461,0.647807
BraTS-GLI-00823-000_fake_label_53,0.752936,0.960061,0.402077,0.896671,0.662503,0.923189,0.251625,0.812695
BraTS-GLI-00823-000_fake_label_54,0.726179,0.956300,0.339638,0.882598,0.636894,0.916260,0.204557,0.789866
BraTS-GLI-00823-000_fake_label_55,0.737753,0.959083,0.361498,0.892677,0.649389,0.921383,0.220627,0.806158
BraTS-GLI-00823-000_fake_label_56,0.744665,0.946788,0.393942,0.893265,0.650452,0.898952,0.245285,0.807117
BraTS-GLI-00823-000_fake_label_57,0.713358,0.955126,0.323525,0.861423,0.621221,0.914106,0.192979,0.756579
BraTS-GLI-00823-000_fake_label_58,0.716941,0.959241,0.336199,0.855384,0.623684,0.921674,0.202067,0.747311
BraTS-GLI-00823-000_fake_label_6,0.731856,0.959804,0.359194,0.876569,0.640630,0.922715,0.218913,0.780260
BraTS-GLI-00823-000_fake_label_60,0.745515,0.962308,0.384808,0.889429,0.655491,0.927354,0.238243,0.800876
BraTS-GLI-00823-000_fake_label_61,0.741740,0.965514,0.349919,0.909786,0.659964,0.933327,0.212062,0.834502
BraTS-GLI-00823-000_fake_label_62,0.714086,0.961868,0.297506,0.882884,0.630536,0.926536,0.174748,0.790324
BraTS-GLI-00823-000_fake_label_64,0.766233,0.964846,0.429586,0.904267,0.676964,0.932080,0.273549,0.825263
BraTS-GLI-00823-000_fake_label_69,0.715436,0.952998,0.326622,0.866689,0.623381,0.910215,0.195187,0.764741
BraTS-GLI-00823-000_fake_label_72,0.712216,0.951401,0.324500,0.860748,0.618839,0.907307,0.193674,0.755537
BraTS-GLI-00823-000_fake_label_75,0.729900,0.963286,0.332982,0.893433,0.645437,0.929172,0.199747,0.807392
BraTS-GLI-00823-000_fake_label_76,0.773279,0.962625,0.460241,0.896972,0.680012,0.927943,0.298904,0.813190
BraTS-GLI-00823-000_fake_label_8,0.727439,0.960948,0.335945,0.885423,0.640373,0.924832,0.201883,0.794403
BraTS-GLI-00823-000_fake_label_82,0.743411,0.956999,0.385654,0.887581,0.651440,0.917545,0.238892,0.797884
BraTS-GLI-00823-000_fake_label_83,0.745654,0.966137,0.357984,0.912839,0.664054,0.934493,0.218015,0.839654
BraTS-GLI-00823-000_fake_label_90,0.761640,0.965804,0.421429,0.897688,0.671735,0.933869,0.266969,0.814368
BraTS-GLI-00823-000_fake_label_91,0.757059,0.965803,0.399792,0.905582,0.670386,0.933867,0.249837,0.827455
BraTS-GLI-00823-000_fake_label_93,0.751989,0.960909,0.401403,0.893656,0.661204,0.924759,0.251097,0.807756
BraTS-GLI-00823-000_fake_label_95,0.768359,0.958605,0.438849,0.907622,0.677492,0.920501,0.281106,0.830868
BraTS-GLI-00823-000_fake_label_97,0.708983,0.953711,0.312665,0.860573,0.617362,0.911517,0.185301,0.755269
BraTS-GLI-00823-000_fake_label_98,0.717911,0.965678,0.294005,0.894050,0.638123,0.933633,0.172336,0.808399
BraTS-GLI-00823-000_fake_label_99,0.746813,0.958505,0.385065,0.896868,0.657258,0.920316,0.238440,0.813019
BraTS-GLI-00823-000_real_label_19,0.707313,0.910696,0.363442,0.847799,0.597974,0.836036,0.222077,0.735808
BraTS-GLI-00823-000_real_label_20,0.785282,0.973461,0.466421,0.915964,0.699130,0.948294,0.304139,0.844957
BraTS-GLI-00823-000_real_label_21,0.694595,0.951766,0.293177,0.838841,0.600718,0.907971,0.171768,0.722417
BraTS-GLI-00823-000_real_label_23,0.706459,0.965495,0.274335,0.879546,0.625752,0.933292,0.158974,0.784991
BraTS-GLI-00823-000_real_label_25,0.781824,0.962185,0.501977,0.881312,0.683342,0.927125,0.335093,0.787808
BraTS-GLI-00823-000_real_label_26,0.779672,0.970493,0.452066,0.916456,0.693506,0.942678,0.292045,0.845795
BraTS-GLI-00823-000_real_label_3,0.773730,0.968256,0.453323,0.899610,0.683032,0.938466,0.293095,0.817537
BraTS-GLI-00823-000_real_label_30,0.675838,0.956244,0.236874,0.834398,0.588786,0.916157,0.134349,0.715851
